candidate_id,r0_um,N_turns,sides,W_um,S_um,left_bridge_um,right_bridge_um,fdl_path,skill_path,gds_path,s2p_path
LQ_N2p5_R96_W12_S18,96.0,2.5,12,12.0,18.0,180.0,180.0,fdl/LQ_N2p5_R96_W12_S18.py,skill/LQ_N2p5_R96_W12_S18.il,gds/LQ_N2p5_R96_W12_S18.gds,s2p/LQ_N2p5_R96_W12_S18.s2p
LQ_N2p5_R75_W12_S18,75.0,2.5,12,12.0,18.0,180.0,180.0,fdl/LQ_N2p5_R75_W12_S18.py,skill/LQ_N2p5_R75_W12_S18.il,gds/LQ_N2p5_R75_W12_S18.gds,s2p/LQ_N2p5_R75_W12_S18.s2p
LQ_N2p5_R96_W11p2_S16,96.0,2.5,12,11.2,16.0,180.0,180.0,fdl/LQ_N2p5_R96_W11p2_S16.py,skill/LQ_N2p5_R96_W11p2_S16.il,gds/LQ_N2p5_R96_W11p2_S16.gds,s2p/LQ_N2p5_R96_W11p2_S16.s2p
LQ_N2p5_R96_W10p4_S15,96.0,2.5,12,10.4,15.0,180.0,180.0,fdl/LQ_N2p5_R96_W10p4_S15.py,skill/LQ_N2p5_R96_W10p4_S15.il,gds/LQ_N2p5_R96_W10p4_S15.gds,s2p/LQ_N2p5_R96_W10p4_S15.s2p
LQ_N3p5_R72_W12_S18,72.0,3.5,12,12.0,18.0,180.0,180.0,fdl/LQ_N3p5_R72_W12_S18.py,skill/LQ_N3p5_R72_W12_S18.il,gds/LQ_N3p5_R72_W12_S18.gds,s2p/LQ_N3p5_R72_W12_S18.s2p
LQ_N3p5_R87_W12_S18,87.0,3.5,12,12.0,18.0,180.0,180.0,fdl/LQ_N3p5_R87_W12_S18.py,skill/LQ_N3p5_R87_W12_S18.il,gds/LQ_N3p5_R87_W12_S18.gds,s2p/LQ_N3p5_R87_W12_S18.s2p
LQ_N3p5_R92_W12_S18,92.0,3.5,12,12.0,18.0,180.0,180.0,fdl/LQ_N3p5_R92_W12_S18.py,skill/LQ_N3p5_R92_W12_S18.il,gds/LQ_N3p5_R92_W12_S18.gds,s2p/LQ_N3p5_R92_W12_S18.s2p
LQ_N3p5_R92_W11p2_S16,92.0,3.5,12,11.2,16.0,180.0,180.0,fdl/LQ_N3p5_R92_W11p2_S16.py,skill/LQ_N3p5_R92_W11p2_S16.il,gds/LQ_N3p5_R92_W11p2_S16.gds,s2p/LQ_N3p5_R92_W11p2_S16.s2p
LQ_N4p5_R68_W9p6_S12,68.0,4.5,12,9.6,12.0,180.0,180.0,fdl/LQ_N4p5_R68_W9p6_S12.py,skill/LQ_N4p5_R68_W9p6_S12.il,gds/LQ_N4p5_R68_W9p6_S12.gds,s2p/LQ_N4p5_R68_W9p6_S12.s2p
LQ_N4p5_R70_W10p4_S12,70.0,4.5,12,10.4,12.0,180.0,180.0,fdl/LQ_N4p5_R70_W10p4_S12.py,skill/LQ_N4p5_R70_W10p4_S12.il,gds/LQ_N4p5_R70_W10p4_S12.gds,s2p/LQ_N4p5_R70_W10p4_S12.s2p
