candidate_id,r0_um,N_turns,sides,W_um,S_um,left_bridge_um,right_bridge_um,fdl_path,skill_path,gds_path,s2p_path
LQ_N2p5_R96_W12_S18,96.0,2.5,12,12.0,18.0,180.0,180.0,fdl/LQ_N2p5_R96_W12_S18.py,skill/LQ_N2p5_R96_W12_S18.il,gds/LQ_N2p5_R96_W12_S18.gds,s2p/LQ_N2p5_R96_W12_S18.s2p
LQ_N2p5_R95_W12_S18,95.0,2.5,12,12.0,18.0,180.0,180.0,fdl/LQ_N2p5_R95_W12_S18.py,skill/LQ_N2p5_R95_W12_S18.il,gds/LQ_N2p5_R95_W12_S18.gds,s2p/LQ_N2p5_R95_W12_S18.s2p
LQ_N2p5_R94_W12_S18,94.0,2.5,12,12.0,18.0,180.0,180.0,fdl/LQ_N2p5_R94_W12_S18.py,skill/LQ_N2p5_R94_W12_S18.il,gds/LQ_N2p5_R94_W12_S18.gds,s2p/LQ_N2p5_R94_W12_S18.s2p
LQ_N2p5_R93_W12_S18,93.0,2.5,12,12.0,18.0,180.0,180.0,fdl/LQ_N2p5_R93_W12_S18.py,skill/LQ_N2p5_R93_W12_S18.il,gds/LQ_N2p5_R93_W12_S18.gds,s2p/LQ_N2p5_R93_W12_S18.s2p
LQ_N2p5_R92_W12_S18,92.0,2.5,12,12.0,18.0,180.0,180.0,fdl/LQ_N2p5_R92_W12_S18.py,skill/LQ_N2p5_R92_W12_S18.il,gds/LQ_N2p5_R92_W12_S18.gds,s2p/LQ_N2p5_R92_W12_S18.s2p
LQ_N2p5_R91_W12_S18,91.0,2.5,12,12.0,18.0,180.0,180.0,fdl/LQ_N2p5_R91_W12_S18.py,skill/LQ_N2p5_R91_W12_S18.il,gds/LQ_N2p5_R91_W12_S18.gds,s2p/LQ_N2p5_R91_W12_S18.s2p
LQ_N2p5_R90_W12_S18,90.0,2.5,12,12.0,18.0,180.0,180.0,fdl/LQ_N2p5_R90_W12_S18.py,skill/LQ_N2p5_R90_W12_S18.il,gds/LQ_N2p5_R90_W12_S18.gds,s2p/LQ_N2p5_R90_W12_S18.s2p
LQ_N2p5_R89_W12_S18,89.0,2.5,12,12.0,18.0,180.0,180.0,fdl/LQ_N2p5_R89_W12_S18.py,skill/LQ_N2p5_R89_W12_S18.il,gds/LQ_N2p5_R89_W12_S18.gds,s2p/LQ_N2p5_R89_W12_S18.s2p
LQ_N2p5_R59_W9p6_S14,59.0,2.5,12,9.6,14.0,180.0,180.0,fdl/LQ_N2p5_R59_W9p6_S14.py,skill/LQ_N2p5_R59_W9p6_S14.il,gds/LQ_N2p5_R59_W9p6_S14.gds,s2p/LQ_N2p5_R59_W9p6_S14.s2p
LQ_N2p5_R43_W12_S16,43.0,2.5,12,12.0,16.0,180.0,180.0,fdl/LQ_N2p5_R43_W12_S16.py,skill/LQ_N2p5_R43_W12_S16.il,gds/LQ_N2p5_R43_W12_S16.gds,s2p/LQ_N2p5_R43_W12_S16.s2p
LQ_N2p5_R58_W9p6_S14,58.0,2.5,12,9.6,14.0,180.0,180.0,fdl/LQ_N2p5_R58_W9p6_S14.py,skill/LQ_N2p5_R58_W9p6_S14.il,gds/LQ_N2p5_R58_W9p6_S14.gds,s2p/LQ_N2p5_R58_W9p6_S14.s2p
LQ_N2p5_R42_W12_S16,42.0,2.5,12,12.0,16.0,180.0,180.0,fdl/LQ_N2p5_R42_W12_S16.py,skill/LQ_N2p5_R42_W12_S16.il,gds/LQ_N2p5_R42_W12_S16.gds,s2p/LQ_N2p5_R42_W12_S16.s2p
LQ_N2p5_R57_W9p6_S14,57.0,2.5,12,9.6,14.0,180.0,180.0,fdl/LQ_N2p5_R57_W9p6_S14.py,skill/LQ_N2p5_R57_W9p6_S14.il,gds/LQ_N2p5_R57_W9p6_S14.gds,s2p/LQ_N2p5_R57_W9p6_S14.s2p
LQ_N2p5_R41_W12_S16,41.0,2.5,12,12.0,16.0,180.0,180.0,fdl/LQ_N2p5_R41_W12_S16.py,skill/LQ_N2p5_R41_W12_S16.il,gds/LQ_N2p5_R41_W12_S16.gds,s2p/LQ_N2p5_R41_W12_S16.s2p
LQ_N2p5_R56_W9p6_S14,56.0,2.5,12,9.6,14.0,180.0,180.0,fdl/LQ_N2p5_R56_W9p6_S14.py,skill/LQ_N2p5_R56_W9p6_S14.il,gds/LQ_N2p5_R56_W9p6_S14.gds,s2p/LQ_N2p5_R56_W9p6_S14.s2p
LQ_N2p5_R40_W12_S16,40.0,2.5,12,12.0,16.0,180.0,180.0,fdl/LQ_N2p5_R40_W12_S16.py,skill/LQ_N2p5_R40_W12_S16.il,gds/LQ_N2p5_R40_W12_S16.gds,s2p/LQ_N2p5_R40_W12_S16.s2p
