candidate_id,r0_um,N_turns,sides,W_um,S_um,left_bridge_um,right_bridge_um,fdl_path,skill_path,gds_path,s2p_path
LQ_N3p5_R81_W10p4_S15,81.0,3.5,12,10.4,15.0,180.0,180.0,fdl/LQ_N3p5_R81_W10p4_S15.py,skill/LQ_N3p5_R81_W10p4_S15.il,gds/LQ_N3p5_R81_W10p4_S15.gds,s2p/LQ_N3p5_R81_W10p4_S15.s2p
LQ_N3p5_R80p75_W10p4_S15,80.75,3.5,12,10.4,15.0,180.0,180.0,fdl/LQ_N3p5_R80p75_W10p4_S15.py,skill/LQ_N3p5_R80p75_W10p4_S15.il,gds/LQ_N3p5_R80p75_W10p4_S15.gds,s2p/LQ_N3p5_R80p75_W10p4_S15.s2p
LQ_N3p5_R80p5_W10p4_S15,80.5,3.5,12,10.4,15.0,180.0,180.0,fdl/LQ_N3p5_R80p5_W10p4_S15.py,skill/LQ_N3p5_R80p5_W10p4_S15.il,gds/LQ_N3p5_R80p5_W10p4_S15.gds,s2p/LQ_N3p5_R80p5_W10p4_S15.s2p
LQ_N3p5_R80p25_W10p4_S15,80.25,3.5,12,10.4,15.0,180.0,180.0,fdl/LQ_N3p5_R80p25_W10p4_S15.py,skill/LQ_N3p5_R80p25_W10p4_S15.il,gds/LQ_N3p5_R80p25_W10p4_S15.gds,s2p/LQ_N3p5_R80p25_W10p4_S15.s2p
LQ_N3p5_R81p75_W10p4_S14,81.75,3.5,12,10.4,14.0,180.0,180.0,fdl/LQ_N3p5_R81p75_W10p4_S14.py,skill/LQ_N3p5_R81p75_W10p4_S14.il,gds/LQ_N3p5_R81p75_W10p4_S14.gds,s2p/LQ_N3p5_R81p75_W10p4_S14.s2p
LQ_N3p5_R81p5_W10p4_S14,81.5,3.5,12,10.4,14.0,180.0,180.0,fdl/LQ_N3p5_R81p5_W10p4_S14.py,skill/LQ_N3p5_R81p5_W10p4_S14.il,gds/LQ_N3p5_R81p5_W10p4_S14.gds,s2p/LQ_N3p5_R81p5_W10p4_S14.s2p
LQ_N3p5_R81p25_W10p4_S14,81.25,3.5,12,10.4,14.0,180.0,180.0,fdl/LQ_N3p5_R81p25_W10p4_S14.py,skill/LQ_N3p5_R81p25_W10p4_S14.il,gds/LQ_N3p5_R81p25_W10p4_S14.gds,s2p/LQ_N3p5_R81p25_W10p4_S14.s2p
LQ_N3p5_R81_W10p4_S14,81.0,3.5,12,10.4,14.0,180.0,180.0,fdl/LQ_N3p5_R81_W10p4_S14.py,skill/LQ_N3p5_R81_W10p4_S14.il,gds/LQ_N3p5_R81_W10p4_S14.gds,s2p/LQ_N3p5_R81_W10p4_S14.s2p
LQ_N4p5_R41p25_W11p2_S16,41.25,4.5,12,11.2,16.0,180.0,180.0,fdl/LQ_N4p5_R41p25_W11p2_S16.py,skill/LQ_N4p5_R41p25_W11p2_S16.il,gds/LQ_N4p5_R41p25_W11p2_S16.gds,s2p/LQ_N4p5_R41p25_W11p2_S16.s2p
LQ_N4p5_R42p5_W10p4_S15,42.5,4.5,12,10.4,15.0,180.0,180.0,fdl/LQ_N4p5_R42p5_W10p4_S15.py,skill/LQ_N4p5_R42p5_W10p4_S15.il,gds/LQ_N4p5_R42p5_W10p4_S15.gds,s2p/LQ_N4p5_R42p5_W10p4_S15.s2p
LQ_N4p5_R41_W11p2_S16,41.0,4.5,12,11.2,16.0,180.0,180.0,fdl/LQ_N4p5_R41_W11p2_S16.py,skill/LQ_N4p5_R41_W11p2_S16.il,gds/LQ_N4p5_R41_W11p2_S16.gds,s2p/LQ_N4p5_R41_W11p2_S16.s2p
LQ_N4p5_R42p25_W10p4_S15,42.25,4.5,12,10.4,15.0,180.0,180.0,fdl/LQ_N4p5_R42p25_W10p4_S15.py,skill/LQ_N4p5_R42p25_W10p4_S15.il,gds/LQ_N4p5_R42p25_W10p4_S15.gds,s2p/LQ_N4p5_R42p25_W10p4_S15.s2p
