candidate_id,r0_um,N_turns,sides,W_um,S_um,left_bridge_um,right_bridge_um,fdl_path,skill_path,gds_path,s2p_path
LQ_N4p5_R55p6_W12_S16,55.6,4.5,12,12.0,16.0,180.0,180.0,fdl/LQ_N4p5_R55p6_W12_S16.py,skill/LQ_N4p5_R55p6_W12_S16.il,gds/LQ_N4p5_R55p6_W12_S16.gds,s2p/LQ_N4p5_R55p6_W12_S16.s2p
LQ_N4p5_R56_W12_S16,56.0,4.5,12,12.0,16.0,180.0,180.0,fdl/LQ_N4p5_R56_W12_S16.py,skill/LQ_N4p5_R56_W12_S16.il,gds/LQ_N4p5_R56_W12_S16.gds,s2p/LQ_N4p5_R56_W12_S16.s2p
LQ_N4p5_R56p4_W12_S16,56.4,4.5,12,12.0,16.0,180.0,180.0,fdl/LQ_N4p5_R56p4_W12_S16.py,skill/LQ_N4p5_R56p4_W12_S16.il,gds/LQ_N4p5_R56p4_W12_S16.gds,s2p/LQ_N4p5_R56p4_W12_S16.s2p
LQ_N4p5_R54_W12_S17,54.0,4.5,12,12.0,17.0,180.0,180.0,fdl/LQ_N4p5_R54_W12_S17.py,skill/LQ_N4p5_R54_W12_S17.il,gds/LQ_N4p5_R54_W12_S17.gds,s2p/LQ_N4p5_R54_W12_S17.s2p
LQ_N4p5_R54p5_W12_S17,54.5,4.5,12,12.0,17.0,180.0,180.0,fdl/LQ_N4p5_R54p5_W12_S17.py,skill/LQ_N4p5_R54p5_W12_S17.il,gds/LQ_N4p5_R54p5_W12_S17.gds,s2p/LQ_N4p5_R54p5_W12_S17.s2p
LQ_N4p5_R55_W12_S17,55.0,4.5,12,12.0,17.0,180.0,180.0,fdl/LQ_N4p5_R55_W12_S17.py,skill/LQ_N4p5_R55_W12_S17.il,gds/LQ_N4p5_R55_W12_S17.gds,s2p/LQ_N4p5_R55_W12_S17.s2p
LQ_N4p5_R53p5_W12p8_S17,53.5,4.5,12,12.8,17.0,180.0,180.0,fdl/LQ_N4p5_R53p5_W12p8_S17.py,skill/LQ_N4p5_R53p5_W12p8_S17.il,gds/LQ_N4p5_R53p5_W12p8_S17.gds,s2p/LQ_N4p5_R53p5_W12p8_S17.s2p
LQ_N4p5_R54_W12p8_S17,54.0,4.5,12,12.8,17.0,180.0,180.0,fdl/LQ_N4p5_R54_W12p8_S17.py,skill/LQ_N4p5_R54_W12p8_S17.il,gds/LQ_N4p5_R54_W12p8_S17.gds,s2p/LQ_N4p5_R54_W12p8_S17.s2p
LQ_N3p5_R100_W10p4_S15,100.0,3.5,12,10.4,15.0,180.0,180.0,fdl/LQ_N3p5_R100_W10p4_S15.py,skill/LQ_N3p5_R100_W10p4_S15.il,gds/LQ_N3p5_R100_W10p4_S15.gds,s2p/LQ_N3p5_R100_W10p4_S15.s2p
LQ_N3p5_R102_W10p4_S15,102.0,3.5,12,10.4,15.0,180.0,180.0,fdl/LQ_N3p5_R102_W10p4_S15.py,skill/LQ_N3p5_R102_W10p4_S15.il,gds/LQ_N3p5_R102_W10p4_S15.gds,s2p/LQ_N3p5_R102_W10p4_S15.s2p
LQ_N3p5_R104_W10p4_S15,104.0,3.5,12,10.4,15.0,180.0,180.0,fdl/LQ_N3p5_R104_W10p4_S15.py,skill/LQ_N3p5_R104_W10p4_S15.il,gds/LQ_N3p5_R104_W10p4_S15.gds,s2p/LQ_N3p5_R104_W10p4_S15.s2p
LQ_N3p5_R108_W11p2_S16,108.0,3.5,12,11.2,16.0,180.0,180.0,fdl/LQ_N3p5_R108_W11p2_S16.py,skill/LQ_N3p5_R108_W11p2_S16.il,gds/LQ_N3p5_R108_W11p2_S16.gds,s2p/LQ_N3p5_R108_W11p2_S16.s2p
