candidate_id,r0_um,N_turns,sides,W_um,S_um,left_bridge_um,right_bridge_um,fdl_path,skill_path,gds_path,s2p_path
lqv1_n25_a1,48,2.5,12,9.6,12.0,180.0,180.0,fdl\lqv1_n25_a1.py,skill\lqv1_n25_a1.il,gds\lqv1_n25_a1.gds,s2p\lqv1_n25_a1.s2p
lqv1_n25_a2,48,2.5,12,10.4,14.0,180.0,180.0,fdl\lqv1_n25_a2.py,skill\lqv1_n25_a2.il,gds\lqv1_n25_a2.gds,s2p\lqv1_n25_a2.s2p
lqv1_n25_a3,56,2.5,12,9.6,12.0,180.0,180.0,fdl\lqv1_n25_a3.py,skill\lqv1_n25_a3.il,gds\lqv1_n25_a3.gds,s2p\lqv1_n25_a3.s2p
lqv1_n25_a4,56,2.5,12,10.4,14.0,180.0,180.0,fdl\lqv1_n25_a4.py,skill\lqv1_n25_a4.il,gds\lqv1_n25_a4.gds,s2p\lqv1_n25_a4.s2p
lqv1_n25_a5,64,2.5,12,9.6,12.0,180.0,180.0,fdl\lqv1_n25_a5.py,skill\lqv1_n25_a5.il,gds\lqv1_n25_a5.gds,s2p\lqv1_n25_a5.s2p
lqv1_n25_a6,64,2.5,12,10.4,14.0,180.0,180.0,fdl\lqv1_n25_a6.py,skill\lqv1_n25_a6.il,gds\lqv1_n25_a6.gds,s2p\lqv1_n25_a6.s2p
lqv1_n25_a7,72,2.5,12,9.6,12.0,180.0,180.0,fdl\lqv1_n25_a7.py,skill\lqv1_n25_a7.il,gds\lqv1_n25_a7.gds,s2p\lqv1_n25_a7.s2p
lqv1_n25_a8,72,2.5,12,10.4,14.0,180.0,180.0,fdl\lqv1_n25_a8.py,skill\lqv1_n25_a8.il,gds\lqv1_n25_a8.gds,s2p\lqv1_n25_a8.s2p
lqv1_n35_a1,56,3.5,12,10.4,14.0,180.0,180.0,fdl\lqv1_n35_a1.py,skill\lqv1_n35_a1.il,gds\lqv1_n35_a1.gds,s2p\lqv1_n35_a1.s2p
lqv1_n35_a2,56,3.5,12,10.4,15.0,180.0,180.0,fdl\lqv1_n35_a2.py,skill\lqv1_n35_a2.il,gds\lqv1_n35_a2.gds,s2p\lqv1_n35_a2.s2p
lqv1_n35_a3,64,3.5,12,10.4,14.0,180.0,180.0,fdl\lqv1_n35_a3.py,skill\lqv1_n35_a3.il,gds\lqv1_n35_a3.gds,s2p\lqv1_n35_a3.s2p
lqv1_n35_a4,64,3.5,12,10.4,15.0,180.0,180.0,fdl\lqv1_n35_a4.py,skill\lqv1_n35_a4.il,gds\lqv1_n35_a4.gds,s2p\lqv1_n35_a4.s2p
lqv1_n35_a5,72,3.5,12,10.4,14.0,180.0,180.0,fdl\lqv1_n35_a5.py,skill\lqv1_n35_a5.il,gds\lqv1_n35_a5.gds,s2p\lqv1_n35_a5.s2p
lqv1_n35_a6,72,3.5,12,10.4,15.0,180.0,180.0,fdl\lqv1_n35_a6.py,skill\lqv1_n35_a6.il,gds\lqv1_n35_a6.gds,s2p\lqv1_n35_a6.s2p
lqv1_n35_a7,80,3.5,12,10.4,14.0,180.0,180.0,fdl\lqv1_n35_a7.py,skill\lqv1_n35_a7.il,gds\lqv1_n35_a7.gds,s2p\lqv1_n35_a7.s2p
lqv1_n35_a8,80,3.5,12,10.4,15.0,180.0,180.0,fdl\lqv1_n35_a8.py,skill\lqv1_n35_a8.il,gds\lqv1_n35_a8.gds,s2p\lqv1_n35_a8.s2p
lqv1_n45_a1,60,4.5,12,10.4,15.0,180.0,180.0,fdl\lqv1_n45_a1.py,skill\lqv1_n45_a1.il,gds\lqv1_n45_a1.gds,s2p\lqv1_n45_a1.s2p
lqv1_n45_a2,60,4.5,12,11.2,16.0,180.0,180.0,fdl\lqv1_n45_a2.py,skill\lqv1_n45_a2.il,gds\lqv1_n45_a2.gds,s2p\lqv1_n45_a2.s2p
lqv1_n45_a3,68,4.5,12,10.4,15.0,180.0,180.0,fdl\lqv1_n45_a3.py,skill\lqv1_n45_a3.il,gds\lqv1_n45_a3.gds,s2p\lqv1_n45_a3.s2p
lqv1_n45_a4,68,4.5,12,11.2,16.0,180.0,180.0,fdl\lqv1_n45_a4.py,skill\lqv1_n45_a4.il,gds\lqv1_n45_a4.gds,s2p\lqv1_n45_a4.s2p
lqv1_n45_a5,76,4.5,12,10.4,15.0,180.0,180.0,fdl\lqv1_n45_a5.py,skill\lqv1_n45_a5.il,gds\lqv1_n45_a5.gds,s2p\lqv1_n45_a5.s2p
lqv1_n45_a6,76,4.5,12,11.2,16.0,180.0,180.0,fdl\lqv1_n45_a6.py,skill\lqv1_n45_a6.il,gds\lqv1_n45_a6.gds,s2p\lqv1_n45_a6.s2p
lqv1_n45_a7,84,4.5,12,10.4,15.0,180.0,180.0,fdl\lqv1_n45_a7.py,skill\lqv1_n45_a7.il,gds\lqv1_n45_a7.gds,s2p\lqv1_n45_a7.s2p
lqv1_n45_a8,84,4.5,12,11.2,16.0,180.0,180.0,fdl\lqv1_n45_a8.py,skill\lqv1_n45_a8.il,gds\lqv1_n45_a8.gds,s2p\lqv1_n45_a8.s2p
