candidate_id,r0_um,N_turns,sides,W_um,S_um,left_bridge_um,right_bridge_um,fdl_path,skill_path,gds_path,s2p_path
LQ_N2p5_R48_W9p6_S12,48,2.5,12,9.6,12.0,180.0,180.0,fdl\LQ_N2p5_R48_W9p6_S12.py,skill\LQ_N2p5_R48_W9p6_S12.il,gds\LQ_N2p5_R48_W9p6_S12.gds,s2p\LQ_N2p5_R48_W9p6_S12.s2p
LQ_N2p5_R48_W10p4_S14,48,2.5,12,10.4,14.0,180.0,180.0,fdl\LQ_N2p5_R48_W10p4_S14.py,skill\LQ_N2p5_R48_W10p4_S14.il,gds\LQ_N2p5_R48_W10p4_S14.gds,s2p\LQ_N2p5_R48_W10p4_S14.s2p
LQ_N2p5_R56_W9p6_S12,56,2.5,12,9.6,12.0,180.0,180.0,fdl\LQ_N2p5_R56_W9p6_S12.py,skill\LQ_N2p5_R56_W9p6_S12.il,gds\LQ_N2p5_R56_W9p6_S12.gds,s2p\LQ_N2p5_R56_W9p6_S12.s2p
LQ_N2p5_R56_W10p4_S14,56,2.5,12,10.4,14.0,180.0,180.0,fdl\LQ_N2p5_R56_W10p4_S14.py,skill\LQ_N2p5_R56_W10p4_S14.il,gds\LQ_N2p5_R56_W10p4_S14.gds,s2p\LQ_N2p5_R56_W10p4_S14.s2p
LQ_N2p5_R64_W9p6_S12,64,2.5,12,9.6,12.0,180.0,180.0,fdl\LQ_N2p5_R64_W9p6_S12.py,skill\LQ_N2p5_R64_W9p6_S12.il,gds\LQ_N2p5_R64_W9p6_S12.gds,s2p\LQ_N2p5_R64_W9p6_S12.s2p
LQ_N2p5_R64_W10p4_S14,64,2.5,12,10.4,14.0,180.0,180.0,fdl\LQ_N2p5_R64_W10p4_S14.py,skill\LQ_N2p5_R64_W10p4_S14.il,gds\LQ_N2p5_R64_W10p4_S14.gds,s2p\LQ_N2p5_R64_W10p4_S14.s2p
LQ_N2p5_R72_W9p6_S12,72,2.5,12,9.6,12.0,180.0,180.0,fdl\LQ_N2p5_R72_W9p6_S12.py,skill\LQ_N2p5_R72_W9p6_S12.il,gds\LQ_N2p5_R72_W9p6_S12.gds,s2p\LQ_N2p5_R72_W9p6_S12.s2p
LQ_N2p5_R72_W10p4_S14,72,2.5,12,10.4,14.0,180.0,180.0,fdl\LQ_N2p5_R72_W10p4_S14.py,skill\LQ_N2p5_R72_W10p4_S14.il,gds\LQ_N2p5_R72_W10p4_S14.gds,s2p\LQ_N2p5_R72_W10p4_S14.s2p
LQ_N3p5_R56_W10p4_S14,56,3.5,12,10.4,14.0,180.0,180.0,fdl\LQ_N3p5_R56_W10p4_S14.py,skill\LQ_N3p5_R56_W10p4_S14.il,gds\LQ_N3p5_R56_W10p4_S14.gds,s2p\LQ_N3p5_R56_W10p4_S14.s2p
LQ_N3p5_R56_W10p4_S15,56,3.5,12,10.4,15.0,180.0,180.0,fdl\LQ_N3p5_R56_W10p4_S15.py,skill\LQ_N3p5_R56_W10p4_S15.il,gds\LQ_N3p5_R56_W10p4_S15.gds,s2p\LQ_N3p5_R56_W10p4_S15.s2p
LQ_N3p5_R64_W10p4_S14,64,3.5,12,10.4,14.0,180.0,180.0,fdl\LQ_N3p5_R64_W10p4_S14.py,skill\LQ_N3p5_R64_W10p4_S14.il,gds\LQ_N3p5_R64_W10p4_S14.gds,s2p\LQ_N3p5_R64_W10p4_S14.s2p
LQ_N3p5_R64_W10p4_S15,64,3.5,12,10.4,15.0,180.0,180.0,fdl\LQ_N3p5_R64_W10p4_S15.py,skill\LQ_N3p5_R64_W10p4_S15.il,gds\LQ_N3p5_R64_W10p4_S15.gds,s2p\LQ_N3p5_R64_W10p4_S15.s2p
LQ_N3p5_R72_W10p4_S14,72,3.5,12,10.4,14.0,180.0,180.0,fdl\LQ_N3p5_R72_W10p4_S14.py,skill\LQ_N3p5_R72_W10p4_S14.il,gds\LQ_N3p5_R72_W10p4_S14.gds,s2p\LQ_N3p5_R72_W10p4_S14.s2p
LQ_N3p5_R72_W10p4_S15,72,3.5,12,10.4,15.0,180.0,180.0,fdl\LQ_N3p5_R72_W10p4_S15.py,skill\LQ_N3p5_R72_W10p4_S15.il,gds\LQ_N3p5_R72_W10p4_S15.gds,s2p\LQ_N3p5_R72_W10p4_S15.s2p
LQ_N3p5_R80_W10p4_S14,80,3.5,12,10.4,14.0,180.0,180.0,fdl\LQ_N3p5_R80_W10p4_S14.py,skill\LQ_N3p5_R80_W10p4_S14.il,gds\LQ_N3p5_R80_W10p4_S14.gds,s2p\LQ_N3p5_R80_W10p4_S14.s2p
LQ_N3p5_R80_W10p4_S15,80,3.5,12,10.4,15.0,180.0,180.0,fdl\LQ_N3p5_R80_W10p4_S15.py,skill\LQ_N3p5_R80_W10p4_S15.il,gds\LQ_N3p5_R80_W10p4_S15.gds,s2p\LQ_N3p5_R80_W10p4_S15.s2p
LQ_N4p5_R60_W10p4_S15,60,4.5,12,10.4,15.0,180.0,180.0,fdl\LQ_N4p5_R60_W10p4_S15.py,skill\LQ_N4p5_R60_W10p4_S15.il,gds\LQ_N4p5_R60_W10p4_S15.gds,s2p\LQ_N4p5_R60_W10p4_S15.s2p
LQ_N4p5_R60_W11p2_S16,60,4.5,12,11.2,16.0,180.0,180.0,fdl\LQ_N4p5_R60_W11p2_S16.py,skill\LQ_N4p5_R60_W11p2_S16.il,gds\LQ_N4p5_R60_W11p2_S16.gds,s2p\LQ_N4p5_R60_W11p2_S16.s2p
LQ_N4p5_R68_W10p4_S15,68,4.5,12,10.4,15.0,180.0,180.0,fdl\LQ_N4p5_R68_W10p4_S15.py,skill\LQ_N4p5_R68_W10p4_S15.il,gds\LQ_N4p5_R68_W10p4_S15.gds,s2p\LQ_N4p5_R68_W10p4_S15.s2p
LQ_N4p5_R68_W11p2_S16,68,4.5,12,11.2,16.0,180.0,180.0,fdl\LQ_N4p5_R68_W11p2_S16.py,skill\LQ_N4p5_R68_W11p2_S16.il,gds\LQ_N4p5_R68_W11p2_S16.gds,s2p\LQ_N4p5_R68_W11p2_S16.s2p
LQ_N4p5_R76_W10p4_S15,76,4.5,12,10.4,15.0,180.0,180.0,fdl\LQ_N4p5_R76_W10p4_S15.py,skill\LQ_N4p5_R76_W10p4_S15.il,gds\LQ_N4p5_R76_W10p4_S15.gds,s2p\LQ_N4p5_R76_W10p4_S15.s2p
